epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.403433,3.89096,8.86153,1.42342,0,0,0,0,1.217,8.99335,1.56925,0,0,0
2,1.0093,4.04644,12.9678,2.18513,0,0,0,0,3.10236,8.92464,1.58828,4.71576e-06,4.71576e-06,4.71576e-06
3,1.60571,2.32478,10.6205,1.50318,0,0,0,0,3.35406,7.64001,1.55192,7.10304e-06,7.10304e-06,7.10304e-06
4,2.22637,4.3189,9.43608,2.02665,0,0,0,0,3.50212,8.4582,1.49423,7.16184e-06,7.16184e-06,7.16184e-06
5,2.87107,3.78146,11.6749,1.82126,0,0,0,0,3.56705,8.66446,1.45422,4.89216e-06,4.89216e-06,4.89216e-06
